,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
74,GO:BP,GO:0034097,response to cytokine,5.168933556346537e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]",601,95,19,16307,0.2,0.03161397670549085,query_1,['GO:0010033'],"['CCL2', 'CCL5', 'IL1B', 'CCL11', 'ARG1', 'IL33', 'IRAK3', 'BBS4', 'CASP8', 'BCL2', 'IL1RN', 'TNF', 'GSTP1', 'EDN1', 'TIMP3', 'TSLP', 'LIFR', 'CXCL6', 'CCL15']","[['IDA', 'IEP', 'ISS', 'IBA'], ['IDA', 'IEP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IBA'], ['IMP'], ['ISS'], ['IMP', 'ISS', 'IBA', 'IC'], ['ISS'], ['IMP', 'TAS'], ['IDA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA'], ['IC'], ['IDA'], ['IBA'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['IBA']]"
75,GO:BP,GO:0043408,regulation of MAPK cascade,5.424899684614149e-06,True,"""Any process that modulates the frequency, rate or extent of signal transduction mediated by the MAP kinase (MAPK) cascade."" [GOC:go_curators]",534,95,18,16307,0.18947368421052632,0.033707865168539325,query_1,"['GO:0000165', 'GO:1902531']","['CCL2', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'IRAK3', 'SOD1', 'TNF', 'GSTP1', 'PTEN', 'PRKCZ', 'ADRB2', 'HLA-DRB1', 'EDN1', 'TIMP3', 'ICAM1', 'LIF', 'CCL15']","[['IBA'], ['IBA'], ['IDA', 'ISS'], ['IBA'], ['IDA'], ['IMP', 'IBA'], ['ISS'], ['IDA', 'NAS'], ['IDA', 'ISS', 'NAS'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA'], ['IMP'], ['IMP'], ['IDA'], ['IBA']]"
76,GO:BP,GO:0007154,cell communication,8.444366948771122e-06,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",5276,95,59,16307,0.6210526315789474,0.011182714177407127,query_1,['GO:0009987'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL33', 'CD14', 'PTGIR', 'IRAK3', 'NPY', 'BBS4', 'CASP8', 'BCL2', 'CFTR', 'SOD1', 'PTGER2', 'IL1RN', 'TBXA2R', 'PLAU', 'NOS2', 'IL1RL1', 'TNF', 'ADA', 'ALOX5', 'PPP2CA', 'ADCY2', 'NQO1', 'ADCYAP1R1', 'DNMT1', 'GSTP1', 'PTEN', 'PRKCZ', 'ADRB2', 'POSTN', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'RAD50', 'SCGB1A1', 'CXCL14', 'HLA-DPB1', 'TIMP3', 'TSLP', 'PDE4B', 'HLA-G', 'MS4A2', 'ICAM1', 'ANKRD13C', 'PTGDR', 'LIF', 'LIFR', 'CALCRL', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS'], ['IGI', 'IBA'], ['IMP', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC'], ['IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA'], ['IMP'], ['ISS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['IMP', 'ISS', 'IBA', 'TAS'], ['IMP', 'ISS', 'IBA', 'TAS', 'IC'], ['IBA', 'TAS'], ['ISS'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IMP', 'IGI'], ['IMP', 'ISS'], ['ISS', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IBA', 'TAS'], ['IDA', 'TAS', 'IC'], ['IDA', 'IMP', 'IBA'], ['TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IDA', 'IBA'], ['ISS'], ['IMP', 'NAS'], ['ISS', 'IBA'], ['TAS'], ['IBA', 'TAS'], ['IMP'], ['IDA', 'ISS', 'NAS', 'IC'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS'], ['IMP', 'ISS', 'IBA', 'TAS'], ['IDA', 'IGI', 'IBA', 'TAS'], ['IDA'], ['IDA', 'IMP', 'NAS'], ['IMP', 'HMP', 'TAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IC'], ['IC'], ['NAS'], ['TAS'], ['IDA'], ['IMP'], ['IDA'], ['IMP', 'IBA'], ['IDA'], ['IBA'], ['IDA', 'IMP'], ['IDA'], ['NAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IPI', 'IBA', 'TAS'], ['IBA', 'TAS'], ['IBA', 'TAS']]"
77,WP,WP:WP15,Selenium micronutrient network,9.512653765395925e-06,True,Selenium micronutrient network,86,86,10,7899,0.11627906976744186,0.11627906976744186,query_1,['WP:000000'],"['CCL2', 'IL1B', 'CAT', 'SOD1', 'TNF', 'ALOX5', 'NFKB2', 'PTGS1', 'PTGS2', 'ICAM1']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP']]"
78,GO:BP,GO:0070371,ERK1 and ERK2 cascade,1.0356459583767405e-05,True,"""An intracellular protein kinase cascade containing at least ERK1 or ERK2 (MAPKs), a MEK (a MAPKK) and a MAP3K. The cascade may involve 4 different kinases, as it can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:add, GOC:signaling, ISBN:0121245462, ISBN:0896039986, PMID:20811974, PMID:28903453]",256,95,13,16307,0.1368421052631579,0.05078125,query_1,['GO:0000165'],"['CCL2', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'TNF', 'GSTP1', 'PTEN', 'PRKCZ', 'HLA-DRB1', 'TIMP3', 'ICAM1', 'CCL15']","[['IBA'], ['IBA'], ['IDA'], ['IBA'], ['IDA'], ['NAS'], ['IDA', 'ISS'], ['IMP'], ['IMP'], ['IDA'], ['IMP'], ['IMP'], ['IBA']]"
79,GO:BP,GO:0043069,negative regulation of programmed cell death,1.0663500374874123e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",628,95,19,16307,0.2,0.030254777070063694,query_1,"['GO:0012501', 'GO:0043067', 'GO:0060548']","['CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'VEGFA', 'CAT', 'CASP8', 'BCL2', 'SOD1', 'TNF', 'DNMT1', 'GSTP1', 'PRKCZ', 'HMOX1', 'ORMDL3', 'TSLP', 'ICAM1']","[['IDA'], ['IMP', 'ISS', 'IBA'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IMP'], ['IDA', 'ISS'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS'], ['ISS'], ['IDA', 'IGI'], ['IMP'], ['IDA', 'TAS'], ['TAS'], ['IMP'], ['IMP'], ['IDA'], ['IDA']]"
80,GO:BP,GO:0010941,regulation of cell death,1.163193553054115e-05,True,"""Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:dph, GOC:tb]",1208,95,26,16307,0.2736842105263158,0.02152317880794702,query_1,"['GO:0008219', 'GO:0050794']","['CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'VEGFA', 'CAT', 'CASP8', 'BCL2', 'SOD1', 'NOS2', 'TNF', 'PARP1', 'DNMT1', 'GSTP1', 'PTEN', 'PRKCZ', 'HMOX1', 'IKZF3', 'ORMDL3', 'TIMP3', 'TSLP', 'HLA-G', 'ICAM1', 'ANKRD13C']","[['IDA', 'IMP'], ['IMP', 'ISS', 'IBA'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IMP'], ['IDA', 'ISS'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS', 'IC'], ['IMP', 'ISS', 'IC'], ['IMP'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA'], ['ISS'], ['IMP'], ['IDA', 'TAS'], ['IMP'], ['TAS'], ['IMP'], ['IMP'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA'], ['IDA']]"
81,GO:BP,GO:0007155,cell adhesion,1.4068732906856916e-05,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1219,95,26,16307,0.2736842105263158,0.02132895816242822,query_1,['GO:0009987'],"['CCR3', 'CCL2', 'IL4', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL1RN', 'PLAU', 'TNF', 'ADA', 'ALOX5', 'PPP2CA', 'TNC', 'PTEN', 'PRKCZ', 'POSTN', 'HLA-DRB1', 'TENM3', 'MYB', 'HLA-DPB1', 'HLA-G', 'TBX21', 'ICAM1', 'LIF']","[['TAS'], ['ISS', 'TAS'], ['IDA', 'ISS', 'IBA'], ['IDA'], ['IDA', 'IBA', 'NAS'], ['TAS'], ['IDA'], ['IDA'], ['IDA'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['IDA'], ['ISS'], ['NAS'], ['IDA', 'IBA', 'TAS'], ['IMP'], ['ISS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA'], ['ISS', 'IBA'], ['IMP'], ['IMP', 'IBA'], ['IDA', 'IMP'], ['ISS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IMP']]"
82,GO:BP,GO:0023052,signaling,1.6356093704116132e-05,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",5204,95,58,16307,0.6105263157894737,0.011145272867025366,query_1,['GO:0008150'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL33', 'CD14', 'PTGIR', 'IRAK3', 'NPY', 'BBS4', 'CASP8', 'BCL2', 'CFTR', 'SOD1', 'PTGER2', 'IL1RN', 'TBXA2R', 'PLAU', 'NOS2', 'IL1RL1', 'TNF', 'ADA', 'ALOX5', 'PPP2CA', 'ADCY2', 'NQO1', 'ADCYAP1R1', 'DNMT1', 'GSTP1', 'PTEN', 'PRKCZ', 'ADRB2', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'RAD50', 'SCGB1A1', 'CXCL14', 'HLA-DPB1', 'TIMP3', 'TSLP', 'PDE4B', 'HLA-G', 'MS4A2', 'ICAM1', 'ANKRD13C', 'PTGDR', 'LIF', 'LIFR', 'CALCRL', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS'], ['IGI', 'IBA'], ['IMP', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC'], ['IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA'], ['IMP'], ['ISS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['IMP', 'ISS', 'IBA', 'TAS'], ['IMP', 'ISS', 'IBA', 'TAS', 'IC'], ['IBA', 'TAS'], ['ISS'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IMP', 'IGI'], ['IMP', 'ISS'], ['ISS', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IBA', 'TAS'], ['IDA', 'TAS', 'IC'], ['IDA', 'IMP', 'IBA'], ['TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IDA', 'IBA'], ['ISS'], ['IMP', 'NAS'], ['ISS', 'IBA'], ['TAS'], ['IBA', 'TAS'], ['IMP'], ['IDA', 'ISS', 'NAS', 'IC'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS'], ['IMP', 'ISS', 'IBA', 'TAS'], ['IDA', 'IGI', 'IBA', 'TAS'], ['IDA', 'IMP', 'NAS'], ['IMP', 'HMP', 'TAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IC'], ['IC'], ['NAS'], ['TAS'], ['IDA'], ['IMP'], ['IDA'], ['IMP', 'IBA'], ['IDA'], ['IBA'], ['IDA', 'IMP'], ['IDA'], ['NAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IPI', 'IBA', 'TAS'], ['IBA', 'TAS'], ['IBA', 'TAS']]"
83,GO:BP,GO:0007159,leukocyte cell-cell adhesion,1.869434103525496e-05,True,"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]",323,95,14,16307,0.14736842105263157,0.043343653250773995,query_1,['GO:0098609'],"['CCL2', 'IL4', 'CCL5', 'IL1B', 'ARG1', 'TNF', 'ALOX5', 'PRKCZ', 'HLA-DRB1', 'MYB', 'HLA-DPB1', 'HLA-G', 'TBX21', 'ICAM1']","[['ISS'], ['IDA', 'ISS', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IDA'], ['IDA'], ['ISS'], ['ISS'], ['IDA', 'IMP', 'IBA'], ['IMP'], ['IMP', 'IBA'], ['IDA', 'IMP'], ['ISS'], ['IMP']]"
84,GO:BP,GO:0042981,regulation of apoptotic process,1.9365426463797122e-05,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1057,95,24,16307,0.25263157894736843,0.02270577105014191,query_1,"['GO:0006915', 'GO:0043067']","['CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'VEGFA', 'CAT', 'CASP8', 'BCL2', 'SOD1', 'TNF', 'DNMT1', 'GSTP1', 'PTEN', 'PRKCZ', 'HMOX1', 'IKZF3', 'ORMDL3', 'TIMP3', 'TSLP', 'HLA-G', 'ICAM1', 'ANKRD13C']","[['IDA', 'IMP'], ['IMP', 'ISS', 'IBA'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IMP'], ['ISS'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS', 'IC'], ['IMP', 'ISS', 'IC'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA'], ['IMP'], ['IDA', 'TAS'], ['IMP'], ['TAS'], ['IMP'], ['IMP'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA'], ['IDA']]"
85,GO:BP,GO:0002694,regulation of leukocyte activation,1.9407192146508488e-05,True,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",510,95,17,16307,0.17894736842105263,0.03333333333333333,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']","['CCL2', 'IL4', 'CCL5', 'IL1B', 'ARG1', 'IL33', 'BCL2', 'SOD1', 'PRKCZ', 'HLA-DRB1', 'MYB', 'HLA-DPB1', 'HAVCR1', 'IKZF3', 'TSLP', 'HLA-G', 'TBX21']","[['ISS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['IDA'], ['IDA', 'IBA'], ['IDA'], ['IDA', 'ISS'], ['IMP'], ['NAS'], ['ISS'], ['IDA', 'IMP', 'IBA'], ['IMP'], ['IMP', 'IBA'], ['IBA'], ['ISS'], ['IMP'], ['IDA', 'IMP'], ['ISS']]"
86,GO:BP,GO:0031347,regulation of defense response,2.0429940891210867e-05,True,"""Any process that modulates the frequency, rate or extent of a defense response."" [GOC:mah]",581,95,18,16307,0.18947368421052632,0.03098106712564544,query_1,"['GO:0006952', 'GO:0080134']","['IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'ARG1', 'IL33', 'CD14', 'IRAK3', 'CASP8', 'TNF', 'ALOX5', 'PARP1', 'GSTP1', 'HLA-DRB1', 'PTGS2', 'TSLP', 'HLA-G']","[['IGI', 'IBA', 'IC'], ['TAS'], ['IGI'], ['TAS'], ['IGI', 'ISS', 'TAS'], ['IMP'], ['ISS', 'IBA', 'TAS'], ['ISS', 'IBA'], ['ISS', 'TAS'], ['ISS'], ['ISS', 'TAS'], ['IDA', 'IMP', 'ISS'], ['IDA', 'IMP'], ['NAS'], ['IDA'], ['ISS', 'NAS'], ['IMP'], ['IDA', 'IMP']]"
87,GO:BP,GO:0042110,T cell activation,2.3743995145649814e-05,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",388,95,15,16307,0.15789473684210525,0.03865979381443299,query_1,['GO:0046649'],"['CCL2', 'IL4', 'CCL5', 'IL1B', 'ARG1', 'CASP8', 'SOD1', 'ADA', 'PRKCZ', 'HLA-DRB1', 'MYB', 'HLA-DPB1', 'HLA-G', 'TBX21', 'ICAM1']","[['ISS'], ['IDA', 'IGI', 'ISS', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IDA'], ['TAS'], ['NAS'], ['IDA', 'IBA'], ['ISS'], ['IDA', 'IMP', 'IBA'], ['IMP'], ['IMP', 'IBA'], ['IDA', 'IMP'], ['ISS'], ['IMP']]"
88,GO:BP,GO:0040011,locomotion,2.742933373363018e-05,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1076,95,24,16307,0.25263157894736843,0.022304832713754646,query_1,['GO:0008150'],"['CCR3', 'CCL2', 'IL4', 'MMP9', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'BBS4', 'TBXA2R', 'PLAU', 'TNF', 'ALOX5', 'TNC', 'PTEN', 'HMOX1', 'EDN1', 'CXCL14', 'MYLK', 'PTGS2', 'PDE4B', 'ICAM1', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IBA', 'TAS'], ['IDA', 'IGI', 'IBA'], ['IMP'], ['IDA', 'IBA', 'TAS', 'NAS', 'IC'], ['IDA'], ['IDA', 'IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['ISS'], ['IGI'], ['IDA', 'TAS'], ['IDA', 'NAS'], ['IMP'], ['IC'], ['IMP'], ['IGI', 'TAS'], ['IDA', 'TAS'], ['TAS'], ['IDA'], ['ISS'], ['ISS'], ['IMP'], ['IDA', 'IBA', 'TAS'], ['IBA', 'TAS']]"
89,WP,WP:WP3617,Photodynamic therapy-induced NF-kB survival signaling,2.856740409661534e-05,True,Photodynamic therapy-induced NF-kB survival signaling,35,86,7,7899,0.08139534883720931,0.2,query_1,['WP:000000'],"['MMP9', 'IL1B', 'VEGFA', 'TNF', 'NFKB2', 'PTGS2', 'ICAM1']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP'], ['WP']]"
90,GO:BP,GO:0007165,signal transduction,3.122803229060029e-05,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",4830,95,55,16307,0.5789473684210527,0.011387163561076604,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']","['CCR3', 'CCL2', 'IL4', 'MMP9', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'ARG1', 'IL33', 'CD14', 'PTGIR', 'IRAK3', 'NPY', 'BBS4', 'CASP8', 'BCL2', 'SOD1', 'PTGER2', 'IL1RN', 'TBXA2R', 'PLAU', 'NOS2', 'IL1RL1', 'TNF', 'ADA', 'PPP2CA', 'ADCY2', 'ADCYAP1R1', 'DNMT1', 'GSTP1', 'PTEN', 'PRKCZ', 'ADRB2', 'HLA-DRB1', 'HMOX1', 'EDN1', 'PDE4D', 'RAD50', 'SCGB1A1', 'CXCL14', 'HLA-DPB1', 'TIMP3', 'TSLP', 'PDE4B', 'HLA-G', 'MS4A2', 'ICAM1', 'ANKRD13C', 'PTGDR', 'LIF', 'LIFR', 'CALCRL', 'CXCL6', 'CCL15']","[['IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS'], ['IGI', 'IBA'], ['IMP', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC'], ['IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA'], ['IMP'], ['ISS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['IMP', 'ISS', 'IBA', 'TAS'], ['IMP', 'ISS', 'IBA', 'TAS', 'IC'], ['IBA', 'TAS'], ['ISS'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IMP', 'ISS'], ['ISS', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IBA', 'TAS'], ['IDA', 'TAS', 'IC'], ['IBA'], ['TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS'], ['IDA', 'IBA'], ['IMP', 'NAS'], ['ISS', 'IBA'], ['IBA', 'TAS'], ['IMP'], ['IDA', 'ISS', 'NAS', 'IC'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS'], ['IMP', 'ISS', 'IBA', 'TAS'], ['IDA', 'IGI', 'IBA', 'TAS'], ['IDA', 'IMP', 'NAS'], ['IMP', 'HMP', 'TAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IC'], ['IC'], ['NAS'], ['TAS'], ['IDA'], ['IMP'], ['IDA'], ['IMP', 'IBA'], ['IDA'], ['IBA'], ['IDA', 'IMP'], ['IDA'], ['NAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IPI', 'IBA', 'TAS'], ['IBA', 'TAS'], ['IBA', 'TAS']]"
91,GO:BP,GO:0000165,MAPK cascade,3.547456874778625e-05,True,"""An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:bf, GOC:mtg_signaling_feb11, PMID:20811974, PMID:9561267]",602,95,18,16307,0.18947368421052632,0.029900332225913623,query_1,['GO:0035556'],"['CCL2', 'CCL5', 'IL1B', 'CCL11', 'VEGFA', 'IRAK3', 'SOD1', 'TNF', 'GSTP1', 'PTEN', 'PRKCZ', 'ADRB2', 'HLA-DRB1', 'EDN1', 'TIMP3', 'ICAM1', 'LIF', 'CCL15']","[['IMP', 'IBA'], ['IMP', 'IBA'], ['IDA', 'IMP', 'ISS'], ['IBA'], ['IDA'], ['IMP', 'IBA'], ['ISS'], ['IDA', 'IMP', 'NAS'], ['IDA', 'ISS', 'NAS'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA'], ['IMP'], ['IMP'], ['IDA'], ['IBA']]"
92,GO:BP,GO:0071345,cellular response to cytokine stimulus,3.634302795261068e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:mah]",532,95,17,16307,0.17894736842105263,0.03195488721804511,query_1,"['GO:0034097', 'GO:0071310']","['CCL2', 'CCL5', 'IL1B', 'CCL11', 'ARG1', 'IL33', 'IRAK3', 'BBS4', 'CASP8', 'IL1RN', 'TNF', 'GSTP1', 'EDN1', 'TSLP', 'LIFR', 'CXCL6', 'CCL15']","[['IDA', 'IEP', 'ISS', 'IBA'], ['IDA', 'IEP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IBA'], ['IMP'], ['ISS'], ['IMP', 'ISS', 'IBA', 'IC'], ['ISS'], ['TAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA'], ['IC'], ['IDA'], ['IDA'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['IBA']]"
93,GO:BP,GO:1903037,regulation of leukocyte cell-cell adhesion,3.9233412154706775e-05,True,"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",286,95,13,16307,0.1368421052631579,0.045454545454545456,query_1,"['GO:0007159', 'GO:0022407']","['CCL2', 'IL4', 'CCL5', 'IL1B', 'ARG1', 'TNF', 'ALOX5', 'PRKCZ', 'HLA-DRB1', 'MYB', 'HLA-DPB1', 'HLA-G', 'TBX21']","[['ISS'], ['IDA', 'ISS', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IDA'], ['IDA'], ['ISS'], ['ISS'], ['IDA', 'IMP', 'IBA'], ['IMP'], ['IMP', 'IBA'], ['IDA', 'IMP'], ['ISS']]"
94,GO:BP,GO:0070663,regulation of leukocyte proliferation,4.8088528491995844e-05,True,"""Any process that modulates the frequency, rate or extent of leukocyte proliferation."" [GOC:add, GOC:mah]",190,95,11,16307,0.11578947368421053,0.05789473684210526,query_1,"['GO:0042127', 'GO:0070661']","['IL4', 'CCL5', 'IL1B', 'ARG1', 'IL33', 'BCL2', 'GSTP1', 'HLA-DRB1', 'HLA-DPB1', 'IKZF3', 'HLA-G']","[['ISS'], ['IDA'], ['IDA', 'IBA'], ['IDA'], ['ISS'], ['IMP'], ['ISS'], ['IMP'], ['IMP'], ['ISS'], ['IDA']]"
95,GO:BP,GO:0043066,negative regulation of apoptotic process,4.812841044803019e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",614,95,18,16307,0.18947368421052632,0.029315960912052116,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043069']","['CCL2', 'IL4', 'MMP9', 'IL13', 'CCL5', 'IL1B', 'VEGFA', 'CAT', 'BCL2', 'SOD1', 'TNF', 'DNMT1', 'GSTP1', 'PRKCZ', 'HMOX1', 'ORMDL3', 'TSLP', 'ICAM1']","[['IDA'], ['IMP', 'ISS', 'IBA'], ['IMP'], ['IMP'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IMP'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS'], ['ISS'], ['IDA', 'IGI'], ['IMP'], ['IDA', 'TAS'], ['TAS'], ['IMP'], ['IMP'], ['IDA'], ['IDA']]"
